城市,月份,AQI,范围,质量等级,PM2.5,PM10,NO2,CO,SO2,O3
北京,2014-01,125,26~402,轻度污染,94,123,65.0,51.0,1.948,37
北京,2014-02,184,33~428,中度污染,148,155,69.0,56.0,2.171,42
北京,2014-03,130,35~319,轻度污染,94,138,62.0,34.0,1.39,83
北京,2014-04,127,65~279,轻度污染,89,145,57.0,16.0,0.927,129
北京,2014-05,107,46~205,轻度污染,61,118,47.0,15.0,0.839,149
北京,2014-06,116,50~179,轻度污染,54,74,39.0,6.0,0.79,168
北京,2014-07,140,39~252,轻度污染,89,100,39.0,6.0,0.939,170
北京,2014-08,120,46~200,轻度污染,62,88,43.0,5.0,0.839,172
北京,2014-09,99,43~200,良,65,88,49.0,6.0,0.983,106
北京,2014-10,154,28~381,中度污染,118,148,70.0,9.0,1.339,54
北京,2014-11,117,29~342,轻度污染,86,127,65.0,16.0,1.567,37
北京,2014-12,86,21~267,良,58,95,53.0,28.0,1.552,42
北京,2015-01,126,28~378,轻度污染,97,120,66.0,34.0,1.91,39
北京,2015-02,127,36~334,轻度污染,93,114,51.0,26.0,1.457,60
北京,2015-03,127,40~281,轻度污染,86,146,53.0,20.0,1.194,87
北京,2015-04,107,38~212,轻度污染,71,118,43.0,9.0,0.76,124
北京,2015-05,105,42~203,轻度污染,55,97,37.0,8.0,0.745,153
北京,2015-06,111,35~231,轻度污染,60,70,35.0,6.0,1.303,156
北京,2015-07,122,41~200,轻度污染,61,74,35.0,4.0,0.823,177
北京,2015-08,104,37~202,轻度污染,45,66,31.0,3.0,0.79,159
北京,2015-09,83,34~201,良,50,59,43.0,5.0,0.837,109
北京,2015-10,106,27~344,轻度污染,74,86,55.0,6.0,0.955,74
北京,2015-11,153,37~450,中度污染,119,85,62.0,12.0,1.983,25
北京,2015-12,187,23~485,中度污染,152,172,76.0,20.0,2.865,26
北京,2016-01,97,32~316,良,68,88,53.0,20.0,1.584,42
北京,2016-02,71,34~238,良,44,59,35.0,15.0,0.903,68
北京,2016-03,132,37~365,轻度污染,93,136,57.0,18.0,1.229,79
北京,2016-04,106,43~209,轻度污染,69,118,44.0,10.0,0.803,116
北京,2016-05,111,49~234,轻度污染,54,90,38.0,8.0,0.665,160
北京,2016-06,126,50~189,轻度污染,59,70,35.0,5.0,0.767,183
北京,2016-07,118,40~177,轻度污染,69,74,33.0,3.0,0.916,159
北京,2016-08,94,34~179,良,47,60,35.0,3.0,0.832,135
北京,2016-09,86,0~211,良,55,73,43.0,3.0,0.76,104
北京,2016-10,116,29~292,轻度污染,85,101,56.0,4.0,1.155,47
北京,2016-11,133,28~315,轻度污染,100,134,68.0,11.0,1.797,28
北京,2016-12,168,54~431,中度污染,133,159,80.0,17.0,2.51,28
北京,2017-01,146,34~470,轻度污染,116,131,65.0,18.0,2.203,41
北京,2017-02,100,36~305,良,71,84,53.0,18.0,1.318,65
北京,2017-03,94,40~273,良,63,84,50.0,11.0,0.913,86
北京,2017-04,87,38~174,良,53,104,48.0,7.0,0.693,101
北京,2017-05,134,53~500,轻度污染,48,104,37.0,7.0,0.674,161
北京,2017-06,125,50~200,轻度污染,42,75,38.0,6.0,0.783,184
北京,2017-07,118,38~208,轻度污染,52,71,34.0,3.0,0.894,174
北京,2017-08,85,34~162,良,38,56,35.0,3.0,0.803,131
北京,2017-09,98,36~189,良,58,100,49.0,4.0,0.913,123
北京,2017-10,84,25~221,良,57,63,46.0,3.0,0.923,47
北京,2017-11,75,30~201,良,46,73,49.0,5.0,0.903,44
北京,2017-12,81,23~254,良,44,68,49.0,8.0,1.09,25
北京,2018-01,64,28~176,良,34,65,39.0,7.0,0.768,48
北京,2018-02,80,32~218,良,50,72,31.0,9.0,0.786,70
北京,2018-03,115,0~283,轻度污染,82,104,53.0,9.0,1.003,81
北京,2018-04,98,36~256,良,59,108,38.0,6.0,0.673,115
北京,2018-05,91,0~169,良,45,85,36.0,4.0,0.648,134
北京,2018-06,111,44~190,轻度污染,43,67,32.0,4.0,0.7,168
北京,2018-07,89,28~156,良,44,48,24.0,3.0,0.787,135
北京,2018-08,83,35~152,良,31,46,26.0,3.0,0.745,133
北京,2018-09,60,30~132,良,28,45,34.0,3.0,0.543,93
北京,2018-10,74,26~203,良,42,59,45.0,4.0,0.668,70
北京,2018-11,108,39~270,轻度污染,71,104,60.0,7.0,1.07,37
北京,2018-12,71,0~232,良,38,73,46.0,7.0,0.835,40
北京,2019-01,81,30~267,良,51,80,50.0,9.0,0.997,44
北京,2019-02,80,32~180,良,53,72,35.0,6.0,0.807,65
北京,2019-03,85,39~233,良,52,80,39.0,5.0,0.635,86
北京,2019-04,84,39~171,良,48,91,34.0,4.0,0.547,103
北京,2019-05,93,47~195,良,37,78,34.0,4.0,0.503,143
北京,2019-06,121,36~193,轻度污染,39,60,27.0,4.0,0.713,179
北京,2019-07,108,33~173,轻度污染,37,50,27.0,3.0,0.661,159
北京,2019-08,72,28~150,良,23,37,26.0,3.0,0.571,118
北京,2019-09,97,33~178,良,36,58,33.0,3.0,0.67,151
北京,2019-10,68,23~163,良,40,66,41.0,3.0,0.681,42
北京,2019-11,76,30~183,良,44,78,48.0,5.0,0.797,32
北京,2019-12,73,28~233,良,44,60,46.0,4.0,0.845,37
北京,2020-01,86,30~221,良,59,65,40.0,6.0,0.955,53
北京,2020-02,89,34~257,良,62,57,27.0,4.0,0.883,66
北京,2020-03,63,36~153,良,35,53,25.0,4.0,0.484,84
北京,2020-04,75,42~202,良,31,67,22.0,4.0,0.403,119
北京,2020-05,85,36~204,良,36,62,23.0,4.0,0.603,124
北京,2020-06,116,60~202,轻度污染,32,67,23.0,3.0,0.567,174
北京,2020-07,99,48~152,良,41,47,21.0,3.0,0.671,150
北京,2020-08,80,27~135,良,28,41,22.0,3.0,0.645,131
北京,2020-09,56,22~158,良,24,35,26.0,3.0,0.537,96
北京,2020-10,72,26~185,良,42,70,41.0,3.0,0.561,60
北京,2020-11,66,26~140,良,37,62,42.0,3.0,0.653,41
北京,2020-12,56,27~97,良,28,56,38.0,5.0,0.619,40
北京,2021-01,72,30~176,良,33,55,31.0,4.0,0.69,49
北京,2021-02,94,36~257,良,61,75,28.0,4.0,0.804,73
北京,2021-03,149,34~500,轻度污染,64,66,35.0,3.0,0.703,71
北京,2021-04,71,41~187,良,29,59,27.0,3.0,0.437,106
北京,2021-05,84,38~253,良,18,49,21.0,3.0,0.419,122
北京,2021-06,85,36~191,良,19,43,19.0,3.0,0.533,139
北京,2021-07,71,29~125,良,16,32,14.0,2.0,0.574,121
北京,2021-08,72,38~125,良,18,36,15.0,3.0,0.594,124
北京,2021-09,57,25~108,良,18,36,21.0,3.0,0.63,99
北京,2021-10,50,20~153,优,25,43,30.0,3.0,0.471,58
北京,2021-11,75,29~193,良,44,65,36.0,3.0,0.643,42
北京,2021-12,55,28~123,良,27,52,36.0,3.0,0.581,40
北京,2022-01,68,29~198,良,45,52,34.0,3.0,0.742,45
北京,2022-02,47,35~84,优,22,37,20.0,3.0,0.436,72
北京,2022-03,70,36~205,良,39,72,27.0,3.0,0.526,80
北京,2022-04,74,38~128,良,34,75,22.0,3.0,0.453,115
北京,2022-05,86,36~178,良,21,50,17.0,3.0,0.355,138
北京,2022-06,102,44~205,轻度污染,23,46,14.0,3.0,0.563,158
北京,2022-07,86,45~161,良,19,35,15.0,3.0,0.468,142
北京,2022-08,67,26~120,良,19,34,15.0,3.0,0.465,115
北京,2022-09,91,33~157,良,30,62,24.0,3.0,0.51,145
北京,2022-10,65,23~142,良,40,69,29.0,3.0,0.461,67
北京,2022-11,71,24~156,良,45,75,32.0,3.0,0.55,46
北京,2022-12,57,28~500,良,21,62,24.0,2.0,0.329,51
北京,2023-01,61,29~117,良,32,68,26.0,3.0,0.429,54
北京,2023-02,80,26~186,良,54,81,36.0,3.0,0.575,59
北京,2023-03,117,40~500,轻度污染,60,147,32.0,3.0,0.519,93
北京,2023-04,105,33~475,轻度污染,43,132,23.0,3.0,0.34,97
北京,2023-05,91,37~170,良,31,72,20.0,3.0,0.452,138
北京,2023-06,112,49~203,轻度污染,20,45,19.0,3.0,0.39,170
北京,2023-07,93,19~181,良,19,36,15.0,3.0,0.458,147
北京,2023-08,71,30~123,良,22,38,15.0,3.0,0.494,122
北京,2023-09,70,29~118,良,29,48,22.0,3.0,0.52,115
北京,2023-10,64,29~178,良,36,67,31.0,3.0,0.519,79
北京,2023-11,56,25~170,良,29,60,27.0,2.0,0.44,51
北京,2023-12,68,16~173,良,41,80,39.0,3.0,0.661,20
北京,2024-01,61,28~124,良,37,61,37.0,3.0,0.59,46
北京,2024-02,61,32~144,良,39,61,22.0,3.0,0.5,72
北京,2024-03,78,37~199,良,43,96,28.0,3.0,0.494,83
北京,2024-04,76,27~145,良,40,88,27.0,3.0,0.503,108
